timestamp,session_id,turn,eou_delay,llm_ttft,tts_ttfb,total
1783746116,ad1ba29d-b58c-4d23-a84d-e41099e4b895,2,0.201,0.663,0.281,1.144
1783746124,ad1ba29d-b58c-4d23-a84d-e41099e4b895,3,0.201,0.810,0.268,1.279
1783746139,ad1ba29d-b58c-4d23-a84d-e41099e4b895,4,0.201,0.896,0.286,1.383
1783746157,ad1ba29d-b58c-4d23-a84d-e41099e4b895,5,0.201,0.730,0.275,1.206
1783746171,ad1ba29d-b58c-4d23-a84d-e41099e4b895,6,0.203,0.580,0.273,1.056
1783746185,ad1ba29d-b58c-4d23-a84d-e41099e4b895,7,0.201,0.520,0.274,0.995
1783746208,ad1ba29d-b58c-4d23-a84d-e41099e4b895,8,0.000,0.745,0.321,1.066
1783746224,ad1ba29d-b58c-4d23-a84d-e41099e4b895,9,0.201,1.207,0.265,1.673
1783746239,ad1ba29d-b58c-4d23-a84d-e41099e4b895,10,0.201,0.643,0.272,1.117
1783746255,ad1ba29d-b58c-4d23-a84d-e41099e4b895,11,0.202,0.483,0.280,0.965
1783746263,ad1ba29d-b58c-4d23-a84d-e41099e4b895,12,0.201,0.792,0.263,1.257
